ein,name,tax_year,state,total_assets,total_revenue,total_grants_paid,source
980120582,THE HULTQUIST FOUNDATION,2019,FL,3938184.0,339774.0,247000.0,irs_990pf
420933162,GLEESON FAMILY FOUNDATION,2019,IA,3113486.0,166068.0,273500.0,irs_990pf
911671814,PENDLETON AND ELISABETH CAREY MILLER,2019,WA,16423513.0,504484.0,673000.0,irs_990pf
376024600,SARAH E WALLACE TRUST,2019,IL,498999.0,18654.0,17339.0,irs_990pf
270049020,BUILDINGS FOR BABIES INC,2019,CO,4187401.0,358470.0,77803.0,irs_990pf
236503956,TU CLAUSE 3RD WO ELLIS GIMBEL,2019,PA,1416316.0,38971.0,89285.0,irs_990pf
474257844,GURSAHANEY FAMILY FOUNDATION INC,2019,FL,2164846.0,99285.0,203000.0,irs_990pf
746035546,JACK AND KATHERINE PEARCE,2019,TX,3022121.0,161108.0,127500.0,irs_990pf
561901626,ROSTAN FAMILY FOUNDATION,2019,NC,9400157.0,1857060.0,500500.0,irs_990pf
810559334,STAHL FAMILY FOUNDATION,2019,MO,128148.0,8496.0,9000.0,irs_990pf
486117374,THE TRUSLER FOUNDATION INC,2019,KS,2590178.0,221036.0,376242.0,irs_990pf
133187074,THE FRANKEL FOUNDATION,2019,MD,40151454.0,10108375.0,1852133.0,irs_990pf
346506909,TYLER WASHINGTON MARION ME TA 242-0930040,2019,OH,2837900.0,233773.0,147604.0,irs_990pf
261133515,TIR NA NOG SANCTUARY INC,2019,IN,24451.0,93178.0,,irs_990pf
593421835,BURCHENAL FAMILY FOUNDATION INC,2019,FL,1000053.0,143132.0,85575.0,irs_990pf
352327953,HEART OF LOUISIANA HUMANE SOCIETY,2019,LA,150488.0,358181.0,2800.0,irs_990pf
731646761,THE DAVID L SIMON FOUNDATION,2019,NV,3128603.0,122515.0,105500.0,irs_990pf
770478309,DAVE AND JUDI ZACHES,2019,CA,1868430.0,117936.0,119000.0,irs_990pf
251777886,ELDRED WORLD WAR II MUSEUM INC,2019,PA,1934191.0,160007.0,,irs_990pf
650841971,DEUS SPES MEA FOUNDATION INC,2019,FL,2963127.0,108434.0,307000.0,irs_990pf
208432064,THE JOSEPHINE ARDERY FOUNDATION INC,2019,KY,1514818.0,116828.0,80000.0,irs_990pf
260306463,TIM BECKWORTH MARY ANN BOYD FOUNDATION,2019,VA,17004.0,0.0,1000.0,irs_990pf
816260519,DONALD R GILMORE TRUST DTD 3112003,2019,TN,1051355.0,92242.0,45317.0,irs_990pf
841997400,RANA SULLIVAN MINISTRIES,2019,TX,0.0,2627.0,100.0,irs_990pf
821583570,AMERICAN BOARD OF FACIAL AESTHETICS,2019,OH,0.0,0.0,,irs_990pf
811020355,LITTLE FEET FOUNDATION INC,2019,WI,2849616.0,927199.0,15000.0,irs_990pf
630738748,LESLIE J JANIE D RICHARD FOUNDATION,2019,AL,555983.0,29895.0,30000.0,irs_990pf
