funder_ein,funder_name,tax_year,recipient_name,recipient_ein,recipient_city,recipient_state,grant_amount,grant_purpose,object_id,is_racial_equity,source
134147704,THE MENEZES FOUNDATION INC,2018,SEE ATTACHED SCHEDULE,000000000,NEW YORK,NY,269500.0,UNRESTRICTED,202000109349100110,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,WEST ISLIP ASSN SCHOOL ADMIN,000000000,WEST ISLIP,NY,3000.0,EDUCATION,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,ST PATRICKS SCHOLARSHIP FUND,000000000,BAY SHORE,NY,1000.0,EDUCATION,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,WEST ISLIP BREAST CANCER,000000000,WEST ISLIP,NY,750.0,RESEARCH,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,ST JOHN THE BAPTIST HS,000000000,WEST ISLIP,NY,1000.0,TUITION ASSISTANCE,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,MUSCULAR DYSTROPHY ASSN,000000000,LAKE SUCCESS,NY,500.0,MEDICAL RESEARCH,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,THYROID CANCER SURVIVORS ASSN,000000000,NEW YORK,NY,250.0,"EDUCATION, COMMUNICATION, SUPPORT, AWARENESS FOR EARLY DETECTION, & THYROID CANCER RESEARCH FUNDING AND RESEARCH GRANTS",202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,AMERICAN HEART ASSOCIATION,000000000,PLAINVIEW,NY,100.0,MEDICAL RESEARCH,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,GREAT SOUTH BAY YMCA,000000000,BAY SHORE,NY,1500.0,YOUTH DEVELOPMENT,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,HCMA,000000000,DENVILLE,NJ,10000.0,MEDICAL RESEARCH,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,TUBEROUS SCLEROSIS ALLIANCE,000000000,SILVER SPRING,MD,300.0,MEDICAL RESEARCH,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,CHILDREN S HOSPITAL OF PHILADELPHIA,000000000,CINCINNATI,OH,100.0,MEDICAL SERVICES,202000119349100000,False,irs_990pf
113457122,ELIZABETH T MCNAMEE MEMORIAL,2018,BABYLON BREAST CANCER COALITION,000000000,LINDENHURST,NY,500.0,MEDICAL RESEARCH,202000119349100000,False,irs_990pf
656427167,TERRY FAMILY TALENT FOUNDATION,2018,ARTISANWORKS,000000000,ROCHESTER,NY,1000.0,SUPPORT ART,202000119349100100,False,irs_990pf
656427167,TERRY FAMILY TALENT FOUNDATION,2018,FIRST PRESBYTERIAN CHURH OF BROCKPORT,000000000,BROCKPORT,NY,5000.0,GENERAL SUPPORT OF THE CHURCH,202000119349100100,False,irs_990pf
656427167,TERRY FAMILY TALENT FOUNDATION,2018,BROCKPORT CENTRAL SCHOOL,000000000,BROCKPORT,NY,1000.0,SUPPORT EDUCATION,202000119349100100,False,irs_990pf
656427167,TERRY FAMILY TALENT FOUNDATION,2018,UNIVERSITY OF ROCHESTER,000000000,ROCHESTER,NY,10000.0,SUPPORT EDUCATION,202000119349100100,False,irs_990pf
656427167,TERRY FAMILY TALENT FOUNDATION,2018,GARTH FAGAN DANCE,000000000,ROCHESTER,NY,2000.0,SUPPORT THE ARTS/DANCE,202000119349100100,False,irs_990pf
134196115,THE JOE HELLEN DARION FOUNDATION INC,2018,ALZHEIMER S ASSOCIATION,000000000,NEW YORK,NY,1000.0,GENERAL WELFARE,202000119349100200,False,irs_990pf
134196115,THE JOE HELLEN DARION FOUNDATION INC,2018,AMERICAN CANCER SOCIETY,000000000,NEW YORK,NY,1000.0,GENERAL WELFARE,202000119349100200,False,irs_990pf
134196115,THE JOE HELLEN DARION FOUNDATION INC,2018,AMERICAN CIVIL LIBERTIES UNION,000000000,NEW YORK,NY,1500.0,GENERAL WELFARE,202000119349100200,False,irs_990pf
134196115,THE JOE HELLEN DARION FOUNDATION INC,2018,AMERICAN FRIENDS OF ISRAEL PHILHARMONIC ORCHESTRA,000000000,NEW YORK,NY,2500.0,GENERAL WELFARE,202000119349100200,False,irs_990pf
134196115,THE JOE HELLEN DARION FOUNDATION INC,2018,AMERICAN HEART ASSOCIATION,000000000,DALLAS,TX,1000.0,GENERAL WELFARE,202000119349100200,False,irs_990pf
134196115,THE JOE HELLEN DARION FOUNDATION INC,2018,AMERICAN MACULAR DEGENERATION FOUNDATION,000000000,NORTHAMPTON,MA,1000.0,GENERAL WELFARE,202000119349100200,False,irs_990pf
134196115,THE JOE HELLEN DARION FOUNDATION INC,2018,BARRY FLORENCE FRIEDBURG JEWISH COMMUNITY CENTER,000000000,OCEANSIDE,NY,5000.0,GENERAL WELFARE,202000119349100200,False,irs_990pf
134196115,THE JOE HELLEN DARION FOUNDATION INC,2018,BROADWAY CARES EQUITY FIGHTS AIDS,000000000,NEW YORK,NY,5000.0,GENERAL WELFARE,202000119349100200,False,irs_990pf
134196115,THE JOE HELLEN DARION FOUNDATION INC,2018,CALVARY FUND OF CALVARY HOSPITAL,000000000,THE BRONX,NY,2500.0,GENERAL WELFARE,202000119349100200,False,irs_990pf
