name,city,state,ein,ntee_code,total_revenue,ntee_major,source
SEE ATTACHED SCHEDULE,NEW YORK,NY,,,,,irs_990pf
WEST ISLIP ASSN SCHOOL ADMIN,WEST ISLIP,NY,,,,,irs_990pf
ST PATRICKS SCHOLARSHIP FUND,BAY SHORE,NY,,,,,irs_990pf
WEST ISLIP BREAST CANCER,WEST ISLIP,NY,,,,,irs_990pf
ST JOHN THE BAPTIST HS,WEST ISLIP,NY,,,,,irs_990pf
MUSCULAR DYSTROPHY ASSN,LAKE SUCCESS,NY,,,,,irs_990pf
THYROID CANCER SURVIVORS ASSN,NEW YORK,NY,,,,,irs_990pf
AMERICAN HEART ASSOCIATION,PLAINVIEW,NY,,,,,irs_990pf
GREAT SOUTH BAY YMCA,BAY SHORE,NY,,,,,irs_990pf
HCMA,DENVILLE,NJ,,,,,irs_990pf
TUBEROUS SCLEROSIS ALLIANCE,SILVER SPRING,MD,,,,,irs_990pf
CHILDREN S HOSPITAL OF PHILADELPHIA,CINCINNATI,OH,,,,,irs_990pf
BABYLON BREAST CANCER COALITION,LINDENHURST,NY,,,,,irs_990pf
ARTISANWORKS,ROCHESTER,NY,,,,,irs_990pf
FIRST PRESBYTERIAN CHURH OF BROCKPORT,BROCKPORT,NY,,,,,irs_990pf
BROCKPORT CENTRAL SCHOOL,BROCKPORT,NY,,,,,irs_990pf
UNIVERSITY OF ROCHESTER,ROCHESTER,NY,,,,,irs_990pf
GARTH FAGAN DANCE,ROCHESTER,NY,,,,,irs_990pf
ALZHEIMER S ASSOCIATION,NEW YORK,NY,,,,,irs_990pf
AMERICAN CANCER SOCIETY,NEW YORK,NY,,,,,irs_990pf
AMERICAN CIVIL LIBERTIES UNION,NEW YORK,NY,,,,,irs_990pf
AMERICAN FRIENDS OF ISRAEL PHILHARMONIC ORCHESTRA,NEW YORK,NY,,,,,irs_990pf
AMERICAN HEART ASSOCIATION,DALLAS,TX,,,,,irs_990pf
AMERICAN MACULAR DEGENERATION FOUNDATION,NORTHAMPTON,MA,,,,,irs_990pf
BARRY FLORENCE FRIEDBURG JEWISH COMMUNITY CENTER,OCEANSIDE,NY,,,,,irs_990pf
BROADWAY CARES EQUITY FIGHTS AIDS,NEW YORK,NY,,,,,irs_990pf
CALVARY FUND OF CALVARY HOSPITAL,THE BRONX,NY,,,,,irs_990pf
CASA-NYC,NEW YORK,NY,,,,,irs_990pf
CITYMEALS ON WHEELS,NEW YORK,NY,,,,,irs_990pf
COMMUNITY ACTION SOUTHOLD TOWN INC,GREENPORT,NY,,,,,irs_990pf
DOROT,NEW YORK,NY,,,,,irs_990pf
ENROOT,CAMBRIDGE,MA,,,,,irs_990pf
FAMILIES AND FRIENDS SUPPORTING CYSTIC FIBROSIS CARE,NEW YORK,NY,,,,,irs_990pf
FOOD BANK FOR NYC,NEW YORK,NY,,,,,irs_990pf
HARVEY MILK HIGH SCHOOL,NEW YORK,NY,,,,,irs_990pf
HEBREW IMMIGRANT AID SOCIETY,SILVER SPRING,MD,,,,,irs_990pf
INSIDE BROADWAY,NEW YORK,NY,,,,,irs_990pf
JUVENILE DIABETES RESEARCH FOUNDATION JDRF,WEST PALM BEACH,FL,,,,,irs_990pf
MANHATTAN THEATRE CLUB,NEW YORK,NY,,,,,irs_990pf
MUSEUM SPECIAL OLYMPICS,WASHINGTON,DC,,,,,irs_990pf
NASSAU POPS SYMPHONY ORCHESTRA INC,FRANKLIN SQUARE,NY,,,,,irs_990pf
NATIONAL ALLIANCE FOR MENTAL ILLNESS MASSACHUSETTS,BOSTON,MA,,,,,irs_990pf
NATIONAL WWII MUSEUM,NEW ORLEANS,LA,,,,,irs_990pf
OCEANSIDE VOLUNTEER FIRE DEPARTMENT,OCEANSIDE,NY,,,,,irs_990pf
PECONIC LAND TRUST,SOUTHAMPTON,NY,,,,,irs_990pf
PEN AMERICA,NEW YORK,NY,,,,,irs_990pf
PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND,COLCHESTER,VT,,,,,irs_990pf
ROSYGLO FOUNDATION INC,ENGELWOOD CLIFFS,NJ,,,,,irs_990pf
SHRINERS HOSPITALS FOR CHILDREN,TAMPA,FL,,,,,irs_990pf
SILVER SHIELD FOUNDATION,NEW YORK,NY,,,,,irs_990pf
SLOAN KETTERING MEMORIAL HOSPITAL,NEW YORK,NY,,,,,irs_990pf
SOUTH SHORE SYMPHONY ORCHESTRA,ROCKVILLE CENTRE,NY,,,,,irs_990pf
SOUTHERN POVERTY LAW CENTER,MONTGOMERY,AL,,,,,irs_990pf
ST JUDE CHILDREN S RESEARCH HOSPITAL,MEMPHIS,TN,,,,,irs_990pf
SUNRISE ASSOCIATION,OCEANSIDE,NY,,,,,irs_990pf
THE DOE FUND,NEW YORK,NY,,,,,irs_990pf
THE HATCH SPACE,BRATTLEBORO,VT,,,,,irs_990pf
THE MANILOW MUSIC PROJECT,INGLEWOOD,CA,,,,,irs_990pf
THE RONALD MCDONALD HOUSE NEW YORK,NEW YORK,NY,,,,,irs_990pf
THE SEEING EYE,MORRISTOWN,NJ,,,,,irs_990pf
THE SPACE ON MAIN,BRADFORD,VT,,,,,irs_990pf
THE STORM THEATRE INC,NEW YORK,NY,,,,,irs_990pf
TRIFORM CAMPHILL COMMUNITY,HUDSON,NY,,,,,irs_990pf
UPBEAT NYC,BRONX,NY,,,,,irs_990pf
VERMONT JAZZ CENTER,BRATTLEBORO,VT,,,,,irs_990pf
VISITING NURSE HOSPICE OF NEW HAMPSHIRE,WEST LEBANON,NH,,,,,irs_990pf
YIDDISH BOOK CENTER,AMHERST,MA,,,,,irs_990pf
YOUNG AUDIENCES NEW YORK,NEW YORK,NY,,,,,irs_990pf
MILWAUKEE PROTESTANT HOME,MILWAUKEE,WI,,,,,irs_990pf
VFW NATL HOME FOR CHILDREN,EATON RAPIDS,MI,,,,,irs_990pf
UNIVERSITY OF HOUSTON,HOUSTON,TX,,,,,irs_990pf
TEXAS A M UNIVERSITY,COLLEGE STATION,TX,,,,,irs_990pf
UNIVERSITY OF TEXAS,AUSTIN,TX,,,,,irs_990pf
ST EDWARDS UNIVERSITY,HOUSTON,TX,,,,,irs_990pf
REAGAN 4 GOLF SCHOLARSHIP,HOUSTON,TX,,,,,irs_990pf
CHILD ADVOCATES,HOUSTON,TX,,,,,irs_990pf
SAM HOUSTON STATE UNIVERSITY,HUNTSVILLE,TX,,,,,irs_990pf
ST MARKS METHODIST CHURCH,HOUSTON,TX,,,,,irs_990pf
SHRINERS HOSPITAL,HOUSTON,TX,,,,,irs_990pf
ST JUDES HOSPITAL,MEMPHIS,TN,,,,,irs_990pf
THE SALVATION ARMY,HOUSTON,TX,,,,,irs_990pf
HILL COUNTRY CHURCH,SAN MARCOS,TX,,,,,irs_990pf
ALLIANCE FOR THE ARTS,FORT MYERS,FL,,,,,irs_990pf
COLLIER COUNTY JUNIOR DEPUTIES LEAG,NAPLES,FL,,,,,irs_990pf
COMMUNITY COOPERATIVE MINISTRIES,FORT MYERS,FL,,,,,irs_990pf
CYPRESS LAKE UNITED METHODIST CHURC,FORT MYERS,FL,,,,,irs_990pf
FLORIDA ARTS INC,FORT MYERS,FL,,,,,irs_990pf
HOPE HEALTHCARE SERVICES,FORT MYERS,FL,,,,,irs_990pf
I WILL MENTORSHIP FOUNDATION,FORT MYERS,FL,,,,,irs_990pf
LEE HEALTH FOUNDATION,FORT MYERS,FL,,,,,irs_990pf
PRIDE PATRIOTISM OF LEE COUNTY IN,CAPE CORAL,FL,,,,,irs_990pf
UNITED WAY OF LEE COUNTY,FORT MYERS,FL,,,,,irs_990pf
TAMPA BAY WATCH,TIERRA VERDE,FL,,,,,irs_990pf
ACADEMY PREP CENTER OF ST PETERSBURG,ST PETERSBURG,FL,,,,,irs_990pf
ST HELEN S OUTREACH PROGRAM,WESTFIELD,NJ,,,,,irs_990pf
CATHOLIC CHARITIES OF THE,EAST ORANGE,NJ,,,,,irs_990pf
ROSEPETALS INC,BLOOMFIELD,NJ,,,,,irs_990pf
CASA OF NJ,TRENTON,NJ,,,,,irs_990pf
CONCORDIA LEARNING CENTER,JERSEY CITY,NJ,,,,,irs_990pf
EDDIE GRAY CAMP FUND,ELIZABETH,NJ,,,,,irs_990pf
ST JOSPEHS SOCIAL SERVICE CENTER,ELIZABETH,NJ,,,,,irs_990pf
SUMMIT SPEECH SCHOOL,NEW PROVIDENCE,NJ,,,,,irs_990pf
RESOLVE COMMUNITY COUNSELING CENTER,SCOTCH PLAINS,NJ,,,,,irs_990pf
ST MARY HIGH SCHOOL,ELIZABETH,NJ,,,,,irs_990pf
CHILDREN S FUN IN THE SUN FOUNDATIO,CRANFORD,NJ,,,,,irs_990pf
MOUNT SAINT MARY ACADEMY,WATCHUNG,NJ,,,,,irs_990pf
MOTHER SETON HIGH SCHOOL,CLARK,NJ,,,,,irs_990pf
FAMILY PROMISE,SUMMIT,NJ,,,,,irs_990pf
COVENANT HOUSE,NEWARK,NJ,,,,,irs_990pf
TEH CONNECTION FOR WOMEN FMAILIES,SUMMIT,NJ,,,,,irs_990pf
ALUMNI ASSOC OF UC DRUG COURT,ELIZABETH,NJ,,,,,irs_990pf
UNION CATHOLIC HIGH SCHOOL,SCOTCH PLAINS,NJ,,,,,irs_990pf
WESTFIELD AREA YMCA,WESTFIELD,NJ,,,,,irs_990pf
OCCUPATIONAL CENTER,ROSELLE,NJ,,,,,irs_990pf
COLLEGE WOMENS CLUB OF CRANFORD,CRANFORD,NJ,,,,,irs_990pf
ST LOUIS UNIVERSITY,ST LOUIS,MO,,,,,irs_990pf
VINCENT KANE,EAST WALPOLE,MA,,,,,irs_990pf
BRIAN NEE,DORCHESTER,MA,,,,,irs_990pf
MICHAEL O REILLY,BOSTON,MA,,,,,irs_990pf
FUNDADOR MORALES JR,WALTHAM,MA,,,,,irs_990pf
BRIAN DAVIS,HYDE PARK,MA,,,,,irs_990pf
GLEN MARTIN,WELLESLEY,MA,,,,,irs_990pf
SEAN KELLY,MARSHFIELD,MA,,,,,irs_990pf
ERIC EVANS,ROXBURY,MA,,,,,irs_990pf
JOSEPH GRAHAM,DUXBURY,MA,,,,,irs_990pf
RANDY GREELEY,SOUTH BOSTON,MA,,,,,irs_990pf
MIKHAYLA FOLEY,DORCHESTER,MA,,,,,irs_990pf
WESTSIDE CHRISTIAN ACADEMY,DETROIT,MI,,,,,irs_990pf
ALZHEIMERS ASSOCIATION,CHICAGO,IL,,,,,irs_990pf
BEYOND BASICS,BLOOMFIELD HILLS,MI,,,,,irs_990pf
BLANCHET HOUSE OF HOSPITALITY,PORTLAND,OR,,,,,irs_990pf
WOMEN OF TOMORROW MENTOR AND SCHOLA,DORAL,FL,,,,,irs_990pf
CHILD SAFE OF AMERICA,ROYAL OAK,MI,,,,,irs_990pf
AMERICAN CETACEAN SOCIETY - MONTERE,Pacific Grove,CA,,,,,irs_990pf
BIG SUR LAND TRUST,Carmel,CA,,,,,irs_990pf
CABRILLO COLLEGE FOUNDATION,Aptos,CA,,,,,irs_990pf
CARMEL BACH FESTIVAL,Carmel,CA,,,,,irs_990pf
MONTAGE HEALTH FOUNDATION,Monterey,CA,,,,,irs_990pf
COMMUNITY FOUNDATION MONTEREY COUNT,Monterey,CA,,,,,irs_990pf
FRIENDS OF HOPKINS MARINE LAB,Stanford,CA,,,,,irs_990pf
KAZU,Pacific Grove,CA,,,,,irs_990pf
KQEDKQET,San Francisco,CA,,,,,irs_990pf
LAND WATCH,Salinas,CA,,,,,irs_990pf
MBARI,Moss Landing,CA,,,,,irs_990pf
MONTEREY BAY AQUARIUM,Monterey,CA,,,,,irs_990pf
MONTEREY SYMPHONY,Carmel,CA,,,,,irs_990pf
NATIONAL RESOURCE DEFENSE COUNCIL,New York,NY,,,,,irs_990pf
OCEAN CONSERVANCY,Washington,DC,,,,,irs_990pf
PLANNED PARENTHOOD MAR MONTE,San Jose,CA,,,,,irs_990pf
SAVE OUR SHORES,Santa Cruz,CA,,,,,irs_990pf
SMUIN BALLET,San Francisco,CA,,,,,irs_990pf
SPCA OF MONTEREY COUNTY,Monterey,CA,,,,,irs_990pf
STANFORD PACKARD CHILDREN S HOSPITA,Palo Alto,CA,,,,,irs_990pf
SALVATION ARMY,Seaside,CA,,,,,irs_990pf
YOUTH MUSIC MONTEREY,Monterey,CA,,,,,irs_990pf
MONTEREY HIGH SCHOOL MUSIC DEPT,Monterey,CA,,,,,irs_990pf
PACIFIC GROVE POP ORCHESTRA,Pacific Grove,CA,,,,,irs_990pf
FRIENDS OF MONTEREY PUBLIC LIBRARY,Monterey,CA,,,,,irs_990pf
MIDBAR KODESH TEMPLE,HENDERSON,NV,,,,,irs_990pf
TOURO UNIVERSITY-NEVADA,HENDERSON,NV,,,,,irs_990pf
LAS VEGAS CLARK COUNTY LIBRARY DIST,LAS VEGAS,NV,,,,,irs_990pf
IMPROVE CARE NOW,BURLINGTON,VT,,,,,irs_990pf
ADELSON EDUCATIONAL CAMPUS,LAS VEGAS,NV,,,,,irs_990pf
CAMP ALONIM,BRANDEIS,CA,,,,,irs_990pf
